country,year,suicides_no,hdi,gdp_per_capita ($)
South Africa,2015,476,0.692,6403
Spain,1985,2513,0.725,5009
Spain,1990,2933,0.754,14517
Spain,1991,2911,0.764,15574
Spain,1992,2783,0.772,17005
Spain,1993,3035,0.782,14106
Spain,1994,3169,0.791,14223
Spain,1995,3156,0.8,16444
Spain,1996,3315,0.806,17166
Spain,1997,3368,0.81,15738
Spain,1998,3257,0.814,16473
Spain,1999,3220,0.819,16756
Spain,2000,3391,0.825,15538
Spain,2001,3185,0.828,16169
Spain,2002,3371,0.83,17924
Spain,2003,3477,0.833,22701
Spain,2004,3507,0.837,26372
Spain,2005,3396,0.844,28092
Spain,2006,3245,0.848,30246
Spain,2007,3259,0.853,34769
Spain,2008,3455,0.856,37848
Spain,2009,3428,0.858,34470
Spain,2010,3158,0.865,32839
Spain,2011,3179,0.87,34097
Spain,2012,3538,0.873,30146
Spain,2013,3870,0.875,30792
Spain,2014,3907,0.88,31171
Spain,2015,3603,0.885,27108
Sri Lanka,1985,5613,0.597,431
Sri Lanka,1996,4872,0.655,834
Sri Lanka,1997,5851,0.662,900
Sri Lanka,1998,5478,0.668,935
Sri Lanka,1999,5584,0.676,920
Sri Lanka,2000,5231,0.685,953
Sri Lanka,2001,4575,0.691,912
Sri Lanka,2002,4358,0.697,951
Sri Lanka,2003,4456,0.705,1077
Sri Lanka,2006,4004,0.724,1580
Suriname,2004,66,0.671,3360
Suriname,2005,71,0.676,4009
Suriname,2006,112,0.681,5794
Suriname,2007,116,0.687,6397
Suriname,2008,146,0.691,7601
Suriname,2009,130,0.677,8238
Suriname,2010,134,0.703,9176
Suriname,2011,127,0.706,9184
Suriname,2012,133,0.711,10227
Suriname,2013,131,0.715,10451
Suriname,2014,126,0.718,10530
Sweden,1990,1470,0.816,32246
Sweden,1991,1480,0.818,33623
Sweden,1992,1355,0.821,34721
Sweden,1993,1373,0.84,25880
Sweden,1994,1324,0.849,27658
Sweden,1995,1347,0.856,32072
Sweden,1996,1252,0.863,34819
Sweden,1997,1198,0.874,31821
Sweden,1998,1230,0.888,31966
Sweden,1999,1220,0.893,32328
Sweden,2000,1130,0.897,30896
Sweden,2001,1195,0.9,28429
Sweden,2002,1177,0.902,31175
Sweden,2003,1111,0.908,38997
Sweden,2004,1152,0.896,44831
Sweden,2005,1215,0.899,45563
Sweden,2006,1195,0.902,48977
Sweden,2007,1124,0.905,56531
Sweden,2008,1170,0.901,59155
Sweden,2009,1239,0.899,49070
Sweden,2010,1140,0.905,55352
Sweden,2011,1110,0.906,63380
Sweden,2012,1153,0.908,60776
Sweden,2013,1229,0.912,64133
Sweden,2014,1146,0.92,62956
Sweden,2015,1179,0.929,54629
Sweden,2016,1094,0.932,55594
Switzerland,1995,1419,0.848,51774
Switzerland,1996,1432,0.854,49621
Switzerland,1997,1340,0.864,42923
Switzerland,1998,1369,0.873,43872
Switzerland,1999,1294,0.881,42859
Switzerland,2000,1379,0.889,39952
Switzerland,2001,1337,0.891,40582
Switzerland,2002,1446,0.891,43419
Switzerland,2003,1267,0.896,50639
Switzerland,2004,1284,0.901,56123
Switzerland,2005,1299,0.905,57790
Switzerland,2006,1307,0.912,60536
Switzerland,2007,1359,0.915,66807
Switzerland,2008,1314,0.917,76202
Switzerland,2009,1104,0.927,73529
Switzerland,2010,1006,0.932,78474
Switzerland,2011,1033,0.932,93053
Switzerland,2012,1038,0.935,87951
Switzerland,2013,1070,0.938,89634
Switzerland,2014,1030,0.939,90809
Switzerland,2015,1071,0.942,86068
Thailand,1985,2953,0.539,840
Thailand,1990,3710,0.574,1666
Thailand,1991,3547,0.583,1891
Thailand,1992,3542,0.589,2120
Thailand,1994,2306,0.604,2784
Thailand,1995,4203,0.611,3114
Thailand,1996,4443,0.619,3324
Thailand,1997,4150,0.625,2689
Thailand,1998,4937,0.63,2005
Thailand,1999,5257,0.64,2203
Thailand,2000,5182,0.649,2169
Thailand,2002,4880,0.666,2305
Thailand,2003,4468,0.674,2531
Thailand,2004,4284,0.683,2849
Thailand,2005,3925,0.693,3094
Thailand,2006,3595,0.699,3598
Thailand,2007,3745,0.71,4461
Thailand,2008,3767,0.714,4921
Thailand,2009,3770,0.718,4736
Thailand,2010,3747,0.724,5707
Thailand,2011,3861,0.727,6153
Thailand,2012,3971,0.731,6584
Thailand,2013,3955,0.728,6917
Thailand,2014,3940,0.735,6662
Thailand,2015,4193,0.741,6552
Thailand,2016,4057,0.748,6713
Trinidad and Tobago,1985,29,0.673,7317
Trinidad and Tobago,1990,169,0.672,4656
Trinidad and Tobago,1991,148,0.673,4817
Trinidad and Tobago,1992,163,0.673,4803
Trinidad and Tobago,1993,174,0.675,4066
Trinidad and Tobago,1994,148,0.679,4254
Trinidad and Tobago,1995,184,0.683,4637
Trinidad and Tobago,1996,146,0.69,4982
Trinidad and Tobago,1997,160,0.697,4937
Trinidad and Tobago,1998,170,0.704,5175
Trinidad and Tobago,1999,139,0.711,5803
Trinidad and Tobago,2000,165,0.716,6920
Trinidad and Tobago,2001,179,0.721,7458
Trinidad and Tobago,2002,156,0.728,7578
Trinidad and Tobago,2003,144,0.737,9465
Trinidad and Tobago,2004,168,0.746,11066
Trinidad and Tobago,2005,136,0.752,13258
Trinidad and Tobago,2006,141,0.757,15190
Trinidad and Tobago,2007,131,0.768,17827
Trinidad and Tobago,2008,199,0.773,22857
Trinidad and Tobago,2009,128,0.772,15652
Trinidad and Tobago,2010,160,0.775,18000
Trinidad and Tobago,2011,139,0.773,20557
Turkey,2009,1032,0.718,9773
Turkey,2010,1499,0.734,11525
Turkey,2011,1128,0.753,12237
Turkey,2012,1435,0.76,12671
Turkey,2013,1793,0.771,13603
Turkey,2014,1599,0.778,13170
Turkey,2015,1514,0.783,11961
Turkmenistan,2010,178,0.673,4962
Turkmenistan,2011,130,0.68,6319
Turkmenistan,2012,138,0.686,7498
Turkmenistan,2013,101,0.692,8255
Turkmenistan,2014,136,0.697,9046
Turkmenistan,2015,133,0.701,7326
Ukraine,1990,10639,0.705,1698
Ukraine,1991,10681,0.701,1607
Ukraine,1992,11653,0.692,1525
Ukraine,1993,12449,0.681,1349
Ukraine,1994,13808,0.668,1081
Ukraine,1995,14525,0.664,996
Ukraine,1996,15148,0.661,925
Ukraine,1997,14886,0.663,1046
Ukraine,1998,14764,0.665,879
Ukraine,1999,14349,0.667,666
Ukraine,2000,14446,0.671,663
Ukraine,2001,13115,0.681,812
Ukraine,2002,12523,0.689,920
Ukraine,2003,12296,0.699,1097
Ukraine,2004,11244,0.706,1432
Ukraine,2005,10614,0.715,1917
Ukraine,2006,10004,0.721,2418
Ukraine,2007,10021,0.729,3229
Ukraine,2008,9437,0.733,4104
Ukraine,2009,9696,0.727,2691
Ukraine,2010,9074,0.733,3141
Ukraine,2011,8953,0.738,3788
Ukraine,2012,9038,0.743,4096
Ukraine,2014,7954,0.748,3299
Ukraine,2015,7555,0.743,2256
United Arab Emirates,2005,96,0.825,42196
United Arab Emirates,2006,90,0.83,45110
United Arab Emirates,2007,101,0.835,45285
United Arab Emirates,2008,100,0.838,48457
United Arab Emirates,2009,124,0.835,34960
United Arab Emirates,2010,111,0.836,36964
United Kingdom,1985,5103,0.753,9231
United Kingdom,1990,4643,0.775,20411
United Kingdom,1991,4546,0.788,21201
United Kingdom,1992,4628,0.801,21815
United Kingdom,1993,4460,0.814,19553
United Kingdom,1994,4376,0.827,20927
United Kingdom,1995,4311,0.839,24389
United Kingdom,1996,4165,0.844,25609
United Kingdom,1997,4140,0.849,28091
United Kingdom,1998,4387,0.855,29508
United Kingdom,1999,4447,0.861,29832
United Kingdom,2000,4286,0.867,29358
United Kingdom,2001,4125,0.871,29179
United Kingdom,2002,4112,0.874,31630
United Kingdom,2003,3977,0.878,36289
United Kingdom,2004,4182,0.886,42486
United Kingdom,2005,4043,0.891,44372
United Kingdom,2006,4119,0.889,47163
United Kingdom,2007,3893,0.892,53576
United Kingdom,2008,4253,0.896,50111
United Kingdom,2009,4243,0.899,41074
United Kingdom,2010,4187,0.905,41798
United Kingdom,2011,4389,0.899,44491
United Kingdom,2012,4442,0.898,44585
United Kingdom,2013,4820,0.915,45594
United Kingdom,2014,4782,0.919,49906
United Kingdom,2015,4906,0.918,47240
United States,1985,29373,0.841,19693
United States,1990,30826,0.86,26004
United States,1991,30732,0.861,26503
United States,1992,30389,0.867,27760
United States,1993,30996,0.871,28891
United States,1994,31035,0.875,30375
United States,1995,31195,0.877,31518
United States,1996,30802,0.879,32928
United States,1997,30443,0.881,34644
United States,1998,30475,0.884,36164
United States,1999,29133,0.885,38072
United States,2000,29280,0.885,39218
United States,2001,30542,0.887,40018
United States,2002,31580,0.889,40845
United States,2003,31421,0.893,42468
United States,2004,32330,0.895,44867
United States,2005,32561,0.898,47423
United States,2006,33226,0.901,49666
United States,2007,34543,0.905,51585
United States,2008,35962,0.91,52128
United States,2009,36810,0.91,50563
United States,2010,38275,0.914,51989
United States,2011,39422,0.917,53452
United States,2012,40511,0.918,55170
United States,2013,41000,0.916,56520
United States,2014,42618,0.918,58531
United States,2015,44031,0.92,60387
Uruguay,1985,286,0.667,1729
Uruguay,1990,312,0.692,3281
Uruguay,1993,416,0.703,5180
Uruguay,1994,406,0.709,5984
Uruguay,1995,427,0.711,6555
Uruguay,1996,392,0.717,6914
Uruguay,1997,455,0.727,8012
Uruguay,1998,521,0.735,8420
Uruguay,1999,449,0.737,7903
Uruguay,2000,553,0.742,7483
Uruguay,2001,498,0.746,6827
Uruguay,2002,673,0.747,4439
Uruguay,2003,534,0.75,3929
Uruguay,2004,517,0.754,4463
Uruguay,2005,497,0.756,5655
Uruguay,2006,528,0.761,6362
Uruguay,2007,576,0.762,7581
Uruguay,2008,521,0.766,9793
Uruguay,2009,511,0.778,10166
Uruguay,2010,546,0.773,12882
Uruguay,2012,598,0.79,16264
Uruguay,2013,543,0.797,18179
Uruguay,2014,591,0.801,18012
Uruguay,2015,628,0.8,16696
Uzbekistan,2000,1906,0.595,632
Uzbekistan,2001,1896,0.602,513
Uzbekistan,2002,1557,0.609,428
Uzbekistan,2003,1405,0.614,441
Uzbekistan,2004,1247,0.621,516
Uzbekistan,2005,1211,0.628,606
Uzbekistan,2009,1381,0.659,1332
Uzbekistan,2010,1434,0.666,1533
Uzbekistan,2011,1612,0.674,1767
Uzbekistan,2012,1819,0.683,1964
Uzbekistan,2013,1919,0.69,2150
